sentences,review_ids,type,product_id
I USE THIS TO MAKE ALL MY CDS AND MP3 FILES FOR MY PLAYERS,R1KUIFHNSN0DAR,positives,B000VG802I
"I'm not a technical person, but this item was very easy to use.  ",R1JTP8FZBRPBFB,positives,B000VG802I
I highly recommended this to any one who has tapes to convert to mp3.  ,R3BB57YMRPXEBN,positives,B000VG802I
"very easy to use, just love it",R16HUPUVV3ZVRV,positives,B000VG802I
Have fun rediscovering your old music cassettes!,R3V71FDW1RCQC,positives,B000VG802I
Once that is complete it is awesome!!,R2184WFLKDDAS,positives,B000VG802I
Audio has put out a good product as I already own a USB Turntable.,RT55RLIB0AHZM,positives,B000VG802I
"However, itunes library is very temperamental and you can't consistently rely on your songs being able to be saved after you've patiently waited for your tracks to record.",R2LPR140XD1QXE,positives,B000VG802I
"I downloaded audacity to do that, and the process has worked well.",R3F4Z0NJYWK3P,positives,B000VG802I
"After 3 hours of trying to get this \\""Easy to use USB cassette deck\\"" to work with my Windows Vista computer, I called Amazon to return this poor product.",R2OYYEQU4JOQ78,negatives,B000VG802I
To avoid any other issues I decided to return this item.,R1UUET08M4JCB8,negatives,B000VG802I
"had this product for a month and still have not been able to burn a disc with it, have installed the proper software and still nothing..",RIRWQR1CIYB2U,negatives,B000VG802I
i was so excited to get this; i had wanted it so bad.,R2MKBGJF945Z1E,negatives,B000VG802I
I have ION Turntable and it works great.,R2FJKY34O4ISCK,negatives,B000VG802I
I think it would be easier to fly to the moon than get this piece of junk to do what it says it will.  ,R139X0N557QNW2,negatives,B000VG802I
I returned it to Amazon and now I'm waiting for a refund.,R371DJQDUAV23A,negatives,B000VG802I
"The hardware is fine, the software is crap.  ",R2AI8R0J7B5EVG,negatives,B000VG802I
"Cassette Doors open and close with some difficulty, however not sure if that is by design or just needs to be broken in.  ",R135661AQH6WV8,benchmark,B000VG802I
I use Cool Edit 2000 to edit the results.,R29P0USGJ9N1KL,benchmark,B000VG802I
"Up until I bought the Tape2PC in late 2010, I piped an analog signal from my stereo to a PC and captured songs that way.  ",R3DX0TIPF82I1W,benchmark,B000VG802I
I started using this deck with a few tapes and it's really easy to use with Audacity which I highly recommend.,RT55RLIB0AHZM,benchmark,B000VG802I
At last an extremely useful tape machine for archiving rare cassette tapes to either iPod or CD-R.,R3D25VJWVQU1KA,benchmark,B000VG802I
There are 2 software that come with the product.  ,R14OMHKYOCHKUE,benchmark,B000VG802I
"Because I have Vista on my pc, I had to go to the Ion site and download another version of the software",R38M65G1GNQ3UX,benchmark,B000VG802I
I found the ION Tape2PC USB Cassette Deck and thought it looked like a good solution for converting those cassettes onto CD.  ,R179SJSRUXNSD6,benchmark,B000VG802I
"Have only had this product for a couple of weeks, but have recorded about 10 cassettes to my computer in that time.  ",RKNTN9V521E6F,benchmark,B000VG802I
This product works great,R20N3UJMX0XU8Y,benchmark,B000VG802I
"Cheaply made cassette tape deck, the software that came with it was useless.",R2G0RH7B3MJ4JO,benchmark,B000VG802I
is a lack of instructions for situations where the cables cannot be installed into a computer.<br />i have an iMac and in order for me to able to use this tape converter,R32IXT7J38C8FO,benchmark,B000VG802I
There are two software packages included but neither are particularly user friendly and included documentation was very limited.    ,RYWHHQ358WGYV,benchmark,B000VG802I
"After converting the cassette, I could hear doors closing in the background and people talking.",R1M014JGA0WMP8,benchmark,B000VG802I
I have tried and tried to get ION to respond to this problem and got no response at all.  ,R3B6QMBERTYGJF,benchmark,B000VG802I
but it plays tapes.  ,RK6WS2QUFZ7IU,benchmark,B000VG802I
"And as far as the Audacity software goes, the ION literature says something like:  if you've never used audio recording software stick with the EZ converter software (which I believe only works on PCs).      ",R389RWEXDNINZQ,benchmark,B000VG802I
I had to purchase another sound editor in order to burn my cassettes.,R2G0RH7B3MJ4JO,benchmark,B000VG802I
So hopefully I will love it.,R14JORQE7YNUMJ,positives,B00009W40D
Can't beat the price for the mic!!!,RW5FX0IAK2H67,positives,B00009W40D
"Microphone works great, but cable is very poor quality.",RW5FX0IAK2H67,positives,B00009W40D
Pretty nice little mic for the money.  ,R2C4I5VHVC6LUJ,positives,B00009W40D
I'm not considering recording high quality music with this or performing live with it.  ,R1RLP45VDMQLNP,positives,B00009W40D
"It was easy to hook up and use, there was no distortion in the sound when we talked.",R2DAJK1THEABZS,positives,B00009W40D
The mic is awesome and the price was even better!,R2VM7OBEI9L0SG,positives,B00009W40D
Bought this mic as an add-on for a karaoke machine.,R2RANDNJN8FRIL,positives,B00009W40D
Very Clear and Crisp.,R13S8AV4277XI7,positives,B00009W40D
My granddaughter loves her microphone.,R3T1I6GCRRJRWV,positives,B00009W40D
"The microphone is not too bad for recording, but the cable is where this product lacks.",R14F3RBHNQ6CQ9,negatives,B00009W40D
Item broke 30 days after I bought it.,R35NL2L2YB2EVM,negatives,B00009W40D
"Unfortunately I bought it way ahead of time, so by the time he got it and used it, the return window had expired.",R2L9C48GEO0KV,negatives,B00009W40D
"I thought it looked like a good deal, but it was just money for a toy.",R2EBAOPHTYDZAT,negatives,B00009W40D
This mic sucks.,R2EBAOPHTYDZAT,negatives,B00009W40D
"We were very careful to not let the kids ever drop this, wound the cord up loosely so it would not be stressed, and used it about 6 times before it failed to work completely.",R199YAS41PUJXN,negatives,B00009W40D
It sounded good for the first couple of weeks he had it.,RZU4QQYKXAACJ,negatives,B00009W40D
I bought two of these microphones for my karaoke system at home.  ,R3ODN0YOEY0LPB,negatives,B00009W40D
We bought this mic after seeing how our grandson was handling the mic that came with the karaoke machine thinking that mic would not last very long.  ,R1VAJ3EA2VL3XW,benchmark,B00009W40D
It really is a great microphone.  ,R1E73O0UYSZ6UR,benchmark,B00009W40D
Just what she was looking for and such a reasonable price too.,R3T1I6GCRRJRWV,benchmark,B00009W40D
"We are very pleased with the quality and durability, especially for the price!",RY5I4IJZBHIYV,benchmark,B00009W40D
I bought this to replace one of my broken Mics for Karaoke.  ,RCYW303QPOSQD,benchmark,B00009W40D
"The sound that comes from it is not perfect in any sense of the word, but if you have a decent mixer and a XLR-to-XLR cable, you can equalize the problems (for instance, the low-cut switch on my mixer cuts most of the sound below 60-75",R120PQVMUZPPVT,benchmark,B00009W40D
The Mic it's self has clean crisp sound and it has been dropped numerous times and still sounds clear and works well.,R1JOEK3FGXZ3SQ,benchmark,B00009W40D
"It has worked great and 3 years later, still kicking...even with the regular use of two little girls and all of their playdate friends.",RY751M3K7KPOV,benchmark,B00009W40D
Ordered this mic as an extra for my karaoke machine.  ,R2F5SGTV55PRHC,benchmark,B00009W40D
"When using this mic for vocal using the supplied XLR to 1/4\\"" cable to connect to a mixer, the sound is low and just fair, however, when connecting using a XLR to XLR cable, the sound and volume are great.",R19GA7F6G1QZM,benchmark,B00009W40D
This mic worked good.,R23R3YMBEBYZDO,benchmark,B00009W40D
The cords that plugs into the microphone 2 stars.    ,R1ECA3CYECAKH1,benchmark,B00009W40D
the cord for the microphone didn't really work so well,R2XQ6ZK70SY5C0,benchmark,B00009W40D
Mic works only if you have a replacement cable.,R2SOZSC7WKXTZI,benchmark,B00009W40D
"However, when i plugged it into my karaoke machine, it only worked for like 15 mins and then stopped working.",R34PJZ2JLCH75O,benchmark,B00009W40D
This is useless if you are looking at out of the box product.,R33PNUJW87IH8B,benchmark,B00009W40D
Hi People    Just reviewing the product so that someone you may get an idea of this product.  ,R1ECA3CYECAKH1,benchmark,B00009W40D
I purchased this microphone as an additional one for my daughters' new karaoke machine based on many great reviews.  ,R1AS2RSZFK5TUN,benchmark,B00009W40D
"Pretty good distortion pedal with tone, volume and distortion adjustment knobs to fit your needs",R1TL0GDHP3YHZ6,positives,B0009DXEEM
They shipped this to us very quickly.,R34SEZ715JZYEL,positives,B0009DXEEM
I highly recommend both this product and the seller.,R1RHADIX2TL5JB,positives,B0009DXEEM
"But hey, the price is great!",R2ZYEY4SCKRABQ,positives,B0009DXEEM
"This pedal sounds awesome, and is surprisingly versatile.",R3J7XRRTOFE8BY,positives,B0009DXEEM
Great pedal though I recommend getting a power cord for this pedal.,R3GG0U5Z8Q8YI,positives,B0009DXEEM
but I still end up looking at individual pedals for their individual sounds.,RH8OHDB431OUC,positives,B0009DXEEM
", I use it for making noise so it was a good deal",R19ZOCBLVQE40B,positives,B0009DXEEM
"this doesn't make you sound good, you might just suck at guitar.",R5DPJCDM2KG6E,positives,B0009DXEEM
"I love a lot of Danelectro products, but not really this one, i give it 3/5 because it works as advertised.<br />The",R14Y15AWH1OKVY,negatives,B0009DXEEM
"The device is faulty, it didn't work when I connected it to a 9V AC adapter or Battery.<br />waste of money.",RREPSDCR0YDZ6,negatives,B0009DXEEM
Why would I pay like $5 or $6 to ship this pack when its THEIR faulty product and it only cost $18 in the first place?,R3B71GEA2J7YPJ,negatives,B0009DXEEM
Too much feedback and noise.,R2FNUEBLDXA3ZE,negatives,B0009DXEEM
"It sounded good when it was first used, but then after about two weeks of usage, it broke.",R39Z4H80LO9FW0,negatives,B0009DXEEM
Save your money and purchase a good quality pedal.,R1J2F9VTROYGSX,negatives,B0009DXEEM
"<br />It shorted out fairly quickly, but i was too lazy to return it",R3J1PERU6RTGF1,negatives,B0009DXEEM
This pedal works great and doesn't slide at all.,R37KB6XAETXPD6,benchmark,B0009DXEEM
Really cool little petal that gives off some crazy good sound!!,R1RHADIX2TL5JB,benchmark,B0009DXEEM
Over the years I've tried many distortion pedals and I could not be happier with this one!,R1YIBHLUL70RLB,benchmark,B0009DXEEM
Pretty decent distortion for the price point.  ,R2414SLC20HGON,benchmark,B0009DXEEM
My brother had requested I buy some Danelectro Fab pedals because he has a D-3 and liked it.,R2RX9QC6GE8ZVV,benchmark,B0009DXEEM
"It's no toy, it's a real Retro Electric Guitar Effects Pedal.",ROL6PILXB7F4S,benchmark,B0009DXEEM
"With distortion almost all the way up, and tone not quite half up, this pedal with a Marshall MG's clean channel and double hummbuckers sounds like Metallica.<br />If",R5DPJCDM2KG6E,benchmark,B0009DXEEM
"only complaint is the pedals instruction manual says a 9 volt battery is included, but their wasn't one in the box.",R3MZI4670BM8VX,benchmark,B0009DXEEM
Don't be put off by the low price or the plastic construction.  ,R11OR88P3PTFU5,benchmark,B0009DXEEM
I bought this low priced pedal mainly for my daughter as a starter.,R18BQ7BPS4SV4C,benchmark,B0009DXEEM
"When I finally set everything up, the gorgeous sound lasted for 5 seconds until the blue LED dimmed and the sound from my amp faded.",R3IABIPODY23F5,benchmark,B0009DXEEM
May work for you but not for me.,R1ZFDVN4K1RJHT,benchmark,B0009DXEEM
"The battery is a pain to work in, the knobs are on the side like it works great on your belt, but on the floor is a real pain to control",R32N48WDEUGAUF,benchmark,B0009DXEEM
I put in a new 9v battery.,RBB948HNJQWMT,benchmark,B0009DXEEM
So looks like I'll try to refund it through Amazon or use it as a doorstop (if it's even heavy/sturdy enough to use it as such).,R3B71GEA2J7YPJ,benchmark,B0009DXEEM
", I just wish a little more thought had gone into designing it and actually manufacturing the thing.",R1DGOBF7GX5X5F,benchmark,B0009DXEEM
Came in a box that made the toy look really cheap.,R38MPU6ZJVF0DH,positives,B009NZ9R52
It's very light but our 2 & 5 yr olds haven't broken it and they love singing into it.,R1MDDEBLVHYL5X,positives,B009NZ9R52
I purchased this microphone for my grand daughters sixth birthday.  ,R3NEQ98KIGUTXQ,positives,B009NZ9R52
My three year old LOVES this!  ,R11J1T8RJSHV52,positives,B009NZ9R52
My 3 year old granddaughter loves it.  ,R3DV1H0IIF34AX,positives,B009NZ9R52
We plan to put it together anyways before we give it to our daughter but if we didn't she would have no clue what it was.,R2WMJGDA1EHQKI,positives,B009NZ9R52
"So cute, durable and good price.",R330ILT72TUZVF,positives,B009NZ9R52
but this has turned out to be one of the kids favorite Christmas presents.  ,R1ZFUAQWE3FR8W,positives,B009NZ9R52
Our 4 year old granddaughter loved loved this!!!,RKTRLOLGP4GE5,positives,B009NZ9R52
"Does everything is says it will....not too loud that it's obnoxious, but, loud enough to make my 5 year old feel like a rock star.  ",R1BBQOWY4NPOOK,positives,B009NZ9R52
"My mother-in-law purchased this, per our request, for our daughter.",RROJJ3VSVJLJG,negatives,B009NZ9R52
"However, the product didn't work at all.  ",RMWXRCAJJS3RI,negatives,B009NZ9R52
"The volume is very very low, plus it broke a few days after bought it and never worked again.",R3RSOQFYB41D5G,negatives,B009NZ9R52
"So yes, it's an inexpensive microphone and meant to be a fun toy.  ",RMWXRCAJJS3RI,negatives,B009NZ9R52
the chord to the mic is very short.,R2XMA0VH8M1Y9D,negatives,B009NZ9R52
I'm just disappointed in the quality control.,R2W7F3U7E7KVSI,negatives,B009NZ9R52
Very very bad speaker.,RIM1PKOOFC7HO,negatives,B009NZ9R52
you make something for children you need to make it more child proof.,R1BRS6H0ZEMNAW,negatives,B009NZ9R52
It is basically now trash.  ,R1ZNAY6ZGT4XQA,negatives,B009NZ9R52
Several of the &#34;effects&#34; buttons were broken right off the bat.,R2W7F3U7E7KVSI,negatives,B009NZ9R52
She absolutely loves it!,R1Q3MFG3X0S24X,benchmark,B009NZ9R52
Bought this as a Christmas gift for my 1 1/2 and 4 year old.  ,R3M6KMWUBFVKIA,benchmark,B009NZ9R52
I got this for my daughter's 3rd birthday.,R1Q3MFG3X0S24X,benchmark,B009NZ9R52
I searched for a long time to find a microphone for my kids.,R240YUMY5ZMHL1,benchmark,B009NZ9R52
kids love it.,RRV2FT896SK6M,benchmark,B009NZ9R52
Got this as a gift for our neighbors child.,R3DNLRY7VBP86Y,benchmark,B009NZ9R52
kids love this,RIMKEZG8MYGWZ,benchmark,B009NZ9R52
"This is our second toy microphone and though this one was cheaper, it works much better!  ",R19LFO6U3J73TN,benchmark,B009NZ9R52
The sound quality is not the best,R1K03AJLTS2NVU,benchmark,B009NZ9R52
"Not too loud, sturdy enough - and it makes my daughter SO happy.",R2TMYF9JQIHP1Y,benchmark,B009NZ9R52
What a piece of junk.<br />This could be the microphone that destroys your child's desire to sing.<br,R1G10VEEY1THOP,benchmark,B009NZ9R52
It will work as a gift for my niece,R18RRP78NT6MBH,benchmark,B009NZ9R52
ReallY poor mic sound.  ,R1LM8ZTI2YDST9,benchmark,B009NZ9R52
the chord to the mic is very short.,R2XMA0VH8M1Y9D,benchmark,B009NZ9R52
This product is very poorly made.  ,R1ZNAY6ZGT4XQA,benchmark,B009NZ9R52
"When it arrived, the on/off button did not work once batteries were installed.",R1DCIJ0E1MC6MN,benchmark,B009NZ9R52
My daughter loves it.,R20WACS0DQODY0,benchmark,B009NZ9R52
Junk.,RROJJ3VSVJLJG,benchmark,B009NZ9R52
Do yourself and your upset 4 year old a favor and do not purchase this.,R210AJBN5HI6B0,benchmark,B009NZ9R52
It is sturdy and meant for this keyboard.,RPKPTXMWU5HLK,positives,B000YID5OG
This one really works!  ,R2O5QUNJE0VDJT,positives,B000YID5OG
Fits my thrift-store Yamaha PSR 32 perfectly and is totally stable.,R2OCQ920REMGTG,positives,B000YID5OG
THIS,R3TP3K3STMJ1H7,positives,B000YID5OG
It fit perfectly and was a snap to install.  ,R22T339WM68H84,positives,B000YID5OG
"Love it, fits the Yamaha ypt-240",R188COSAQ9BS32,positives,B000YID5OG
This stand holds my Yamaha EZ 200 very well.  ,R2GAWCONOPCE5X,positives,B000YID5OG
Very pleased with he quality and price for this product.,R281LQIQKP2XPX,positives,B000YID5OG
"We're very happy with it, especially for the price.",RA4W4AO0EN23G,positives,B000YID5OG
"Just 3 easy screws, that you tighten with your hands and it is labeled which hole to use, on the bottom of the piano .",RDCJUVLLHHDJC,positives,B000YID5OG
The keyboard stand in it self is OK.  ,R3Q90EB1VB8EFG,negatives,B000YID5OG
"; I purchased a Yamaha PSR-S650 keyboard from Amazon which is a great addition to our living room, and thus decided to purchase the stand online too.",R2AFYB2N0HXO0S,negatives,B000YID5OG
"it is not very stable, and came with missing parts.",R11EK5ERECQLA1,negatives,B000YID5OG
Need a better stand and sheet music holder.,R17NL3J1H1HF5Q,negatives,B000YID5OG
"Because of how it's made with the wide base for stability, the keyboard sits out about 4-5 inches from the wall.<br /><br",R1O3WVV5WBZPGL,benchmark,B000YID5OG
Fits Yamaha piano great.,R33SA9Z2AHLQDA,benchmark,B000YID5OG
This stand is a perfect fit for,R1ID288CALXSSH,benchmark,B000YID5OG
"Once I figured out how to install this stand, it works fine.  ",R2P0PVU5G0ZTXG,benchmark,B000YID5OG
The manufacturer supplies the user with clear instructions and three large screws that are used to attach the frame to the keyboard.  ,R13P6U3NRSB4XE,benchmark,B000YID5OG
It exactly fit my Yamaha YPT- 240 keyboard.,R26ZESR5AMW8RZ,benchmark,B000YID5OG
br />I recommend this to anyone with a keyboard,ROAGKGGYNAGVX,benchmark,B000YID5OG
lightweight but very sturdy for use around my 3yr old and 5 yr old.,R2DL2SV9IQU0CV,benchmark,B000YID5OG
Very pleased with he quality and price for this product.,R281LQIQKP2XPX,benchmark,B000YID5OG
Bought for a used Yamaha PSR 400 I got for cheap.  ,R22T339WM68H84,benchmark,B000YID5OG
The keyboard stand in it self is OK.  ,R3Q90EB1VB8EFG,benchmark,B000YID5OG
"; I purchased a Yamaha PSR-S650 keyboard from Amazon which is a great addition to our living room, and thus decided to purchase the stand online too.",R2AFYB2N0HXO0S,benchmark,B000YID5OG
I chose this rating as the stand I purchased was advertised to fit &#34;Yamaha,R2AFYB2N0HXO0S,benchmark,B000YID5OG
returned the keyboard in its original packaging to Amazon and did not receive a refund.,R2AFYB2N0HXO0S,benchmark,B000YID5OG
"br />i keep them handy for guitar setup changes<br />ordered on Monday, arrived on thursday",R5M2HY9Q0VQSR,positives,B009MIBIWK
"Good price for bone, although the slots could have been measured more carefully - they are too shallow.",R28PEP6YPN9J53,positives,B009MIBIWK
I put these on an Alvarez acoustic.  ,R2W0FOEHB1GK6N,positives,B009MIBIWK
"the bone quality, I think, is good as the sound in my guitar has considerably improved after replacing my plastic nut and saddle with these bone ones.",RBVA4MIA0Q3Z,positives,B009MIBIWK
They are real bone and fit well on my Yamaha.,R21OF24ETAA9JS,positives,B009MIBIWK
huge difference.,R3H14MO221QRHL,positives,B009MIBIWK
"fast delivery, fits perfectly with a great tone for my Ibanez",R37FWT71FN57PW,positives,B009MIBIWK
"I wish they sell 'bone' saddles by itself, I'd like to replace the saddle on my other 2 guitars.",R1L9TC1EN30Y04,positives,B009MIBIWK
Bought this to lower the action on my fender acoustic guitar.,RTIP1P93BXM0H,positives,B009MIBIWK
"Seller should know the guitars the nut & Saddle will fit, and save buyers and them from wasting everyone's time, plus shipping cost.",R2M5ZWE2M87UYV,negatives,B009MIBIWK
"These parts are not bone, they are plastic.",R39VTXHHOZPF5P,negatives,B009MIBIWK
The color is nice the part is junk.,R39VTXHHOZPF5P,negatives,B009MIBIWK
They lead buyers to believe that these are bones.,R2U939UEVSTVP3,negatives,B009MIBIWK
"Bone refers to the color which kind of a shady thing for the seller to do, knowing bone is a high-end material for these parts.",R2S7Z7NFHSSWJ1,negatives,B009MIBIWK
"Very unhappy about it, and have already processed a return.",R25GQQUAGVJ2D,negatives,B009MIBIWK
Complete scam.,R18TOTV4GDU78G,negatives,B009MIBIWK
"still have to add the bridge, but the saddle makes my electric/acoustic sound perfect.",R3RTLPQL053JG1,benchmark,B009MIBIWK
The length is perfect for my guitar but the nut is a little high and the bridge saddle is thicker than the slot on my guitar.,R1IU31JEG07CN3,benchmark,B009MIBIWK
Had an older acoustic that needed a new nut and this one fit the bill perfectly.,R2XG95BKE0TVK8,benchmark,B009MIBIWK
"price was almost too good to be bone,  but it is!",R2K9IB8OJ9D6MN,benchmark,B009MIBIWK
"Of course, you have to do some minor sanding to fit your model of guitar.",R2LU94NAZ7C3DV,benchmark,B009MIBIWK
Good replacement for your acoustic.,RRL85BR6KMRQZ,benchmark,B009MIBIWK
I measured the original plastic Yamaha saddle which is longer than the bone saddle.,R13PMW05T9FTSI,benchmark,B009MIBIWK
But it was fairly easy and they both fit right and sound great.,R3DHU6FXBWVV5W,benchmark,B009MIBIWK
8 bucks for a plastic piece of junk.,RN4QO3OX467JU,benchmark,B009MIBIWK
"it is bone color, but it is pure garbage, bendable cheap plastic",R157HJD7GHEN7H,benchmark,B009MIBIWK
"Acoustic guitars have a wide neck, Why would you put such a short nut in this package?",R2VW87D8S882QJ,benchmark,B009MIBIWK
Not bone an i would have to say almost w certainty neither was the saddle(bridge).,R56YJPUEGKE9F,benchmark,B009MIBIWK
"If a seller on Amazon misrepresents (lies about) a product, we should all notify Amazon and if enough complaints, I wouldn't say it should be too many, then Amazon should kick them out.",R157HJD7GHEN7H,benchmark,B009MIBIWK
The headline should say &#34;Cheap Molded Plastic Acoustic Guitar Bridge Saddle and Nut Parts,R2JU5LVLA89JGL,benchmark,B009MIBIWK
ITS CUTE -- FOR KIDS,R2PBSASA2HAPK6,positives,B001WLSYW2
she loves itsml 383portable karoke machine,R1LRQPXRPUJGS0,positives,B001WLSYW2
The Singing Machine arrived in record time even though it was almost Christmas,R1LSP5KS4N26VG,positives,B001WLSYW2
I would definetly recommend this item!!!,RYWXUC61FQYR6,positives,B001WLSYW2
this one is fine for the price,R1VF21O8BWCTWD,positives,B001WLSYW2
dont know whats the deal with it but its awesome now,RD3Q8D9ZAZILQ,positives,B001WLSYW2
gave it as a gift.,R3G3VEU6F09OY,positives,B001WLSYW2
Also I forgot my teen age daughter would be singing with it,R1LRQPXRPUJGS0,positives,B001WLSYW2
We bought it again and it works fine.  ,R713SJBM3F2KT,positives,B001WLSYW2
Then the kids could use it anywhere.,R1PEU96EF1TPWD,positives,B001WLSYW2
I had to return it for a refund.  ,R2O8JKIWBPF529,negatives,B001WLSYW2
Getting a refund and will buy another product elsewhere.,R2RXPDDZLDQ32C,negatives,B001WLSYW2
Video graphics also did not work.,RQHQ6KKS351QW,negatives,B001WLSYW2
A huge disappointment<br />for myself and daughter :(,R3UIADRXIH4FS5,negatives,B001WLSYW2
"It is a complete waste of money, and now I have a very disappointed daughter.",R3HC98E45FP0GD,negatives,B001WLSYW2
This is a fire hazard and Amazon should pull this item immediately.  ,R2TMD42ZCET0WC,negatives,B001WLSYW2
This broke within 5 minutes of hooking it up.  ,R3GNPVM9QK6HD1,negatives,B001WLSYW2
It arrived the day before the party and when we went to set it up the next day for the party the microphone wouldn't work.,R2CNYT1HSCWTJL,negatives,B001WLSYW2
The machine does not has it loud volume,R3BP6ZQ1BWCOV5,negatives,B001WLSYW2
"The first machine received didn't work, but Amazon was great about exchanging it.  ",R39WKNEDX1R91D,benchmark,B001WLSYW2
"Dynamic Karaoke Microphone with 10.5 foot Cord\\"" also from Amazon",R10Y2OJW39YVRG,benchmark,B001WLSYW2
"My youngest daughter, who is 12, enjoys it as well.",R2OM0WOBDU9SNR,benchmark,B001WLSYW2
This is a great product for kids!!!,R21MXHP8DTGD8Q,benchmark,B001WLSYW2
this is fun to sing on and create songs to use on it.,R23LBUYIA520WG,benchmark,B001WLSYW2
old grandson LOVES the Singing Machine we bought him for Christmas.,R1RPL6AFTYJFDQ,benchmark,B001WLSYW2
My Granddaughter got this last year for Christmas and has been played ever since.  ,R1YL627XPIY260,benchmark,B001WLSYW2
For the price it is worth the purchase; provided the cord doesn't fall out and I did notify the company of this defect.,R2SR65N8YYTTM8,benchmark,B001WLSYW2
It was easy to hook-up to the TV and the sound was great.,R15R8KU7XLMWCT,benchmark,B001WLSYW2
He and his 3 year old brother both use it and has withstood both of them!  ,R2CBEQC6QN12O1,benchmark,B001WLSYW2
"You get what you pay for, and I guess that any karaoke machine at this price point is going to be a piece of poop.",RJO2LU7T7W5K3,benchmark,B001WLSYW2
Bought this for my 4 year old grand daughter for Christmas.,R2EOWT33A3AZRE,benchmark,B001WLSYW2
"Aside from low volume, this is an average product.",R15GJXU6C00MVP,benchmark,B001WLSYW2
Then to make things worse we had to pay for return shipping to Amazon.,R16PRPVEIQSM8W,benchmark,B001WLSYW2
Just opened the replacement to try to use and the machine does not work and actually started smoking!,R21YJ88WMM2A7U,benchmark,B001WLSYW2
My daughter limped it along for another couple weeks and it finally quit playing.,R36FG7R8O6IMLI,benchmark,B001WLSYW2
everything worked except for the microphone ports.  ,R3AV1RUOLCJU91,benchmark,B001WLSYW2
and she begin to sing a long to a CD ..,R1BFNQKBWFPFO9,benchmark,B001WLSYW2
"Amazon sent a FREE replacement within 2 days and paid for return shipping on the defective machine, which I really appreciate.<br /><br />I am hoping this machine will not break because my daughter (age 6) loves it!!<br",R1ZNRU4N1TH6Y1,benchmark,B001WLSYW2
"It was what I expected,  they  were a gift for a friend and he love it",R3EOCI1YJTMRQH,positives,B0002F741Q
Good quality drumsticks.,R1YSJ9J8P04INC,positives,B0002F741Q
Recommended for any drummer looking for Durable long lasting sticks at a low low price!!!!,R2ZKIOBIRITMW,positives,B0002F741Q
My son is the first year band student and these are very acceptable for him.,R1DMQ1AE48W27M,positives,B0002F741Q
Only real drummers use these.  ,R2DALGMRSO054B,positives,B0002F741Q
These drum sticks were purchased as a gift for my grandson -- the drummer!!  ,R1PY4XIYERUQJJ,positives,B0002F741Q
If Vic's Stick is as good as Vic's stick,R1TWT0YD8H5NPI,positives,B0002F741Q
Rally good easy to handle and they feel very comfortable.,R1LKOPY5B20Y4J,positives,B0002F741Q
They seem to have been an awesome purchase;  the band teacher was impressed with the quality.,REGMLIN9KCD4S,positives,B0002F741Q
I'm very pleased and would highly recommend ♡♡♡,R1GKZIWPEEOX0X,positives,B0002F741Q
I was playing during church and it broke just like that.,R17NJ4Y0B1RUMQ,negatives,B0002F741Q
"Not cool, but not worth the hassle of returning.",R26M9SDRSEWKM3,negatives,B0002F741Q
He wasnt impressed.  ,R355VL1T8R6MR7,negatives,B0002F741Q
I had the same issue with the Jazz Classic sticks by Vic Firth--those broke in a day practicing jazz ride cymbal at a moderate volume.,R180V4OKCVHN8X,negatives,B0002F741Q
They were nice until they broke and now we burned them in the fire pit.,R3DM01BPLB8L3P,negatives,B0002F741Q
For many years I use drum sticks exclusively by this company.,R1WR2G130Z86U2,benchmark,B0002F741Q
"I always used Fic Firth drum sticks becuase the drummer for The Ramones did, also the drummer for Tokyo Police Club and many other different drummers to but those 2 drummers deffinently",R2ZKIOBIRITMW,benchmark,B0002F741Q
"I used Vic Firth sticks for a long time, and they were always good.",R34J8T6IFVWG6V,benchmark,B0002F741Q
Great quality!,R9TTT3BXB170I,benchmark,B0002F741Q
HOW MUCH I LOVE THESE DRUMSTICKS!!!,R2KZUL0GHC0PZU,benchmark,B0002F741Q
"A great pair of sticks at a decent price ,got them super fast !!!",R2FSNL0I14F9S6,benchmark,B0002F741Q
Vic Firth is an excellent brand and this is a fantastic product.,R3CRWSJLZCFKVN,benchmark,B0002F741Q
Match up with stick tape and they look great too!,R3REZ4IJZDWVA1,benchmark,B0002F741Q
These were good drumsticks.,R395SZ4PWRV33M,benchmark,B0002F741Q
"Bought a pair a while back & just bought more for my son because he loves them, thank you!",R2B8QRW50QO1IE,benchmark,B0002F741Q
""" drumsticks instead of the \\""AMERICAN CLASSIC\\",R26M9SDRSEWKM3,benchmark,B0002F741Q
I had the same issue with the Jazz Classic sticks by Vic Firth--those broke in a day practicing jazz ride cymbal at a moderate volume.,R180V4OKCVHN8X,benchmark,B0002F741Q
"I'm sure these are very nice drumsticks, but one of them broke soon after the teenager started using them.",R118DSK0UTXEFR,benchmark,B0002F741Q
"Okay, I've used Vic Firths my whole life.",RQ361VX1BFGZA,benchmark,B0002F741Q
I use it for my personal voice monitor when playing out.,RN3AE48T6HOM3,positives,B0002D0KOG
I can't believe the low price i paid for these stands.,R2F3M1N1XHRO8T,positives,B0002D0KOG
Great stand for such a low price.,R22BTTTC2BXOMO,positives,B0002D0KOG
It is great quality...no cheap materials.,RG1U9BEME05XE,positives,B0002D0KOG
Very solid build product .<br,R25SS4PG0BS87Q,positives,B0002D0KOG
